start	end	type	var
3	6	FLOWS_TO	
6	10	FLOWS_TO	
10	11	FLOWS_TO	
11	13	FLOWS_TO	
13	17	FLOWS_TO	
17	23	FLOWS_TO	
17	65	FLOWS_TO	
23	33	FLOWS_TO	
33	44	FLOWS_TO	
44	53	FLOWS_TO	
53	67	FLOWS_TO	
65	67	FLOWS_TO	
67	68	FLOWS_TO	
68	70	FLOWS_TO	
70	72	FLOWS_TO	
72	73	FLOWS_TO	
73	75	FLOWS_TO	
75	77	FLOWS_TO	
77	78	FLOWS_TO	
78	4	FLOWS_TO	
33	44	REACHES	query
44	53	REACHES	row
23	33	REACHES	sql
82	85	FLOWS_TO	
85	89	FLOWS_TO	
89	93	FLOWS_TO	
93	99	FLOWS_TO	
93	206	FLOWS_TO	
99	106	FLOWS_TO	
106	112	FLOWS_TO	
112	116	FLOWS_TO	
112	125	FLOWS_TO	
116	118	FLOWS_TO	
118	206	FLOWS_TO	
125	135	FLOWS_TO	
125	143	FLOWS_TO	
135	141	FLOWS_TO	
141	143	FLOWS_TO	
143	151	FLOWS_TO	
151	162	FLOWS_TO	
162	173	FLOWS_TO	
173	178	FLOWS_TO	
173	185	FLOWS_TO	
178	180	FLOWS_TO	
180	206	FLOWS_TO	
185	193	FLOWS_TO	
193	204	FLOWS_TO	
204	206	FLOWS_TO	
206	83	FLOWS_TO	
151	162	REACHES	check_query
106	125	REACHES	emailValidation
99	112	REACHES	email
99	125	REACHES	email
99	135	REACHES	email
99	143	REACHES	email
162	173	REACHES	count_email
99	185	REACHES	email
143	151	REACHES	sql
185	193	REACHES	sql
209	212	FLOWS_TO	
212	214	FLOWS_TO	
214	218	FLOWS_TO	
218	222	FLOWS_TO	
222	226	FLOWS_TO	
226	230	FLOWS_TO	
230	236	FLOWS_TO	
236	242	FLOWS_TO	
242	248	FLOWS_TO	
248	254	FLOWS_TO	
254	275	FLOWS_TO	
275	279	FLOWS_TO	
275	288	FLOWS_TO	
279	288	FLOWS_TO	
288	294	FLOWS_TO	
288	532	FLOWS_TO	
294	307	FLOWS_TO	
307	320	FLOWS_TO	
320	333	FLOWS_TO	
333	348	FLOWS_TO	
348	352	FLOWS_TO	
348	361	FLOWS_TO	
352	361	FLOWS_TO	
361	365	FLOWS_TO	
361	374	FLOWS_TO	
365	374	FLOWS_TO	
374	378	FLOWS_TO	
374	387	FLOWS_TO	
378	387	FLOWS_TO	
387	393	FLOWS_TO	
387	400	FLOWS_TO	
393	400	FLOWS_TO	
400	411	FLOWS_TO	
411	422	FLOWS_TO	
422	433	FLOWS_TO	
433	438	FLOWS_TO	
433	472	FLOWS_TO	
438	446	FLOWS_TO	
438	455	FLOWS_TO	
446	455	FLOWS_TO	
455	463	FLOWS_TO	
455	472	FLOWS_TO	
463	472	FLOWS_TO	
472	481	FLOWS_TO	
472	532	FLOWS_TO	
481	490	FLOWS_TO	
490	504	FLOWS_TO	
504	512	FLOWS_TO	
512	519	FLOWS_TO	
519	525	FLOWS_TO	
525	532	FLOWS_TO	
532	538	FLOWS_TO	
532	671	FLOWS_TO	
538	551	FLOWS_TO	
551	566	FLOWS_TO	
566	570	FLOWS_TO	
566	579	FLOWS_TO	
570	579	FLOWS_TO	
579	583	FLOWS_TO	
579	592	FLOWS_TO	
583	592	FLOWS_TO	
592	601	FLOWS_TO	
592	671	FLOWS_TO	
601	610	FLOWS_TO	
610	621	FLOWS_TO	
621	634	FLOWS_TO	
634	643	FLOWS_TO	
