start	end	type
2	3	ENTRY
2	4	EXIT
7	8	PARENT_OF
6	7	PARENT_OF
6	9	PARENT_OF
5	6	PARENT_OF
5	10	PARENT_OF
11	12	PARENT_OF
5	11	PARENT_OF
13	14	PARENT_OF
5	13	PARENT_OF
19	20	PARENT_OF
18	19	PARENT_OF
18	21	PARENT_OF
17	18	PARENT_OF
16	17	PARENT_OF
24	25	PARENT_OF
23	24	PARENT_OF
26	27	PARENT_OF
29	30	PARENT_OF
28	29	PARENT_OF
28	31	PARENT_OF
26	28	PARENT_OF
26	32	PARENT_OF
23	26	PARENT_OF
22	23	PARENT_OF
34	35	PARENT_OF
33	34	PARENT_OF
37	38	PARENT_OF
36	37	PARENT_OF
40	41	PARENT_OF
39	40	PARENT_OF
42	43	PARENT_OF
39	42	PARENT_OF
36	39	PARENT_OF
33	36	PARENT_OF
22	33	PARENT_OF
45	46	PARENT_OF
44	45	PARENT_OF
48	49	PARENT_OF
47	48	PARENT_OF
51	52	PARENT_OF
50	51	PARENT_OF
47	50	PARENT_OF
44	47	PARENT_OF
22	44	PARENT_OF
55	56	PARENT_OF
58	59	PARENT_OF
57	58	PARENT_OF
57	60	PARENT_OF
55	57	PARENT_OF
54	55	PARENT_OF
54	61	PARENT_OF
53	54	PARENT_OF
22	53	PARENT_OF
16	22	PARENT_OF
15	16	PARENT_OF
62	63	PARENT_OF
65	66	PARENT_OF
64	65	PARENT_OF
62	64	PARENT_OF
15	62	PARENT_OF
5	15	PARENT_OF
5	67	PARENT_OF
68	69	PARENT_OF
5	68	PARENT_OF
70	71	PARENT_OF
5	70	PARENT_OF
5	72	PARENT_OF
73	74	PARENT_OF
5	73	PARENT_OF
75	76	PARENT_OF
5	75	PARENT_OF
5	77	PARENT_OF
78	79	PARENT_OF
5	78	PARENT_OF
2	5	PARENT_OF
1	2	FILE_OF
81	82	ENTRY
81	83	EXIT
86	87	PARENT_OF
85	86	PARENT_OF
85	88	PARENT_OF
84	85	PARENT_OF
89	90	PARENT_OF
84	89	PARENT_OF
95	96	PARENT_OF
94	95	PARENT_OF
94	97	PARENT_OF
93	94	PARENT_OF
92	93	PARENT_OF
100	101	PARENT_OF
99	100	PARENT_OF
103	104	PARENT_OF
102	103	PARENT_OF
102	105	PARENT_OF
99	102	PARENT_OF
98	99	PARENT_OF
107	108	PARENT_OF
106	107	PARENT_OF
106	109	PARENT_OF
98	106	PARENT_OF
113	114	PARENT_OF
112	113	PARENT_OF
111	112	PARENT_OF
116	117	PARENT_OF
115	116	PARENT_OF
118	119	PARENT_OF
115	118	PARENT_OF
111	115	PARENT_OF
110	111	PARENT_OF
120	121	PARENT_OF
127	128	PARENT_OF
126	127	PARENT_OF
130	131	PARENT_OF
129	130	PARENT_OF
132	133	PARENT_OF
129	132	PARENT_OF
126	129	PARENT_OF
125	126	PARENT_OF
